Vehicle ID,Car Sensor Type,Sensor Status,Speed (km/h),Location,Battery Level (%),Connection Type,Event Logs,Vehicle Usage,Attack Type,Protocol,Label
VID1089,ECU,Disabled,76,"(48.3967, 89.87374)",45,Bluetooth,82,Weekly,Jamming,Zigbee,compromised
VID3515,LIDAR,Disabled,83,"(80.07079, 65.40001)",49,Bluetooth,99,Daily,None,None,compromised
VID2968,Camera,Disabled,4,"(41.2689, 78.58326)",73,Wi-Fi,24,Occasionally,None,None,normal
VID3002,LIDAR,Faulty,14,"(38.47701, 11.78949)",63,Cellular,79,Weekly,MITM,TCP,compromised
VID3018,Camera,Faulty,79,"(47.91776, 11.71367)",70,Bluetooth,94,Daily,DDoS,Zigbee,compromised
VID4632,LIDAR,Faulty,41,"(77.17684, 38.29284)",33,Cellular,79,Weekly,MITM,Zigbee,compromised
VID3466,Radar,Faulty,115,"(44.17737, 82.90709)",96,Cellular,16,Daily,Jamming,Bluetooth,compromised
VID1586,Radar,Faulty,81,"(63.87443, 16.39951)",29,Bluetooth,79,Daily,Spoofing,Zigbee,compromised
VID8831,Camera,Faulty,46,"(47.99477, 24.97647)",41,Cellular,51,Daily,MITM,TCP,compromised
VID7728,GPS,Faulty,69,"(16.76832, 55.47631)",37,Cellular,76,Weekly,MITM,Bluetooth,compromised
VID9898,Radar,Disabled,111,"(57.4052, 17.25622)",66,Cellular,77,Weekly,DDoS,Wi-Fi,compromised
VID2388,ECU,Disabled,16,"(84.88186, 63.83052)",91,Wi-Fi,51,Weekly,Spoofing,TCP,compromised
VID4767,GPS,Normal,84,"(46.76726, 74.97935)",28,Bluetooth,66,Weekly,DDoS,UDP,compromised
VID3389,ECU,Disabled,81,"(22.98823, 23.13363)",46,Bluetooth,28,Daily,None,None,normal
VID4858,Camera,Faulty,109,"(68.41767, 21.37787)",88,Bluetooth,9,Occasionally,DDoS,Zigbee,compromised
VID5268,Radar,Disabled,89,"(33.53828, 26.05316)",39,Bluetooth,0,Weekly,None,None,normal
VID6200,Camera,Normal,68,"(12.72351, 86.07412)",77,Cellular,31,Daily,None,None,normal
VID9920,GPS,Normal,13,"(22.19624, 65.41024)",65,Cellular,23,Daily,None,None,normal
VID4872,Camera,Normal,89,"(32.05716, 58.80291)",23,Wi-Fi,17,Weekly,None,None,normal
VID7121,Camera,Normal,27,"(25.38204, 20.12226)",97,Cellular,18,Occasionally,None,None,normal
VID8099,LIDAR,Disabled,66,"(51.97651, 75.63335)",80,Cellular,45,Weekly,None,None,normal
VID8937,Camera,Normal,14,"(38.13698, 15.80763)",76,Wi-Fi,48,Occasionally,None,None,normal
VID2553,GPS,Disabled,32,"(79.77421, 84.10452)",72,Wi-Fi,8,Weekly,None,None,normal
VID9043,Radar,Normal,55,"(17.65485, 73.47865)",97,Bluetooth,87,Weekly,MITM,TCP,compromised
VID6103,Radar,Normal,10,"(36.33022, 89.84415)",89,Wi-Fi,0,Occasionally,None,None,normal
VID5706,ECU,Faulty,21,"(15.48395, 34.09963)",99,Cellular,77,Weekly,Spoofing,UDP,compromised
VID1045,Camera,Disabled,15,"(62.77511, 35.96373)",21,Wi-Fi,19,Weekly,None,None,normal
VID2202,ECU,Disabled,111,"(85.96195, 27.84785)",91,Bluetooth,1,Daily,None,None,normal
VID6126,Radar,Disabled,69,"(59.04884, 11.11246)",53,Wi-Fi,35,Daily,None,None,normal
VID6372,ECU,Normal,117,"(81.56163, 65.57163)",87,Wi-Fi,42,Occasionally,None,None,normal
VID5433,GPS,Faulty,114,"(48.65625, 60.36949)",51,Cellular,44,Occasionally,DDoS,Wi-Fi,compromised
VID8379,GPS,Faulty,108,"(45.78468, 44.94839)",32,Wi-Fi,100,Daily,DDoS,UDP,compromised
VID9684,Camera,Faulty,2,"(70.19046, 13.85711)",78,Bluetooth,65,Occasionally,DDoS,Wi-Fi,compromised
VID2784,GPS,Disabled,41,"(36.11297, 28.96663)",26,Bluetooth,5,Occasionally,None,None,normal
VID7613,Radar,Faulty,77,"(27.37635, 22.18423)",96,Wi-Fi,97,Daily,DDoS,Bluetooth,compromised
VID4787,Radar,Disabled,72,"(53.66529, 14.7822)",32,Bluetooth,58,Daily,DDoS,Zigbee,compromised
VID9381,ECU,Faulty,65,"(68.64246, 70.42069)",30,Cellular,92,Weekly,Jamming,Bluetooth,compromised
VID3053,Camera,Normal,109,"(14.17561, 88.89417)",20,Cellular,74,Daily,Spoofing,Zigbee,compromised
VID9655,GPS,Normal,85,"(22.92854, 42.05046)",49,Wi-Fi,66,Weekly,DDoS,UDP,compromised
VID7839,LIDAR,Disabled,99,"(23.28657, 51.6088)",32,Bluetooth,81,Daily,None,None,compromised
VID9243,GPS,Faulty,78,"(68.08158, 67.43741)",34,Wi-Fi,60,Daily,Spoofing,Wi-Fi,compromised
VID5203,Radar,Disabled,52,"(62.6221, 67.25352)",27,Bluetooth,87,Weekly,None,None,compromised
VID5926,GPS,Faulty,99,"(24.75656, 60.36275)",76,Wi-Fi,86,Occasionally,Spoofing,Bluetooth,compromised
VID8204,LIDAR,Faulty,58,"(54.04369, 13.88906)",68,Cellular,79,Daily,MITM,Wi-Fi,compromised
VID5771,Radar,Disabled,96,"(83.73812, 38.05207)",55,Bluetooth,49,Weekly,None,None,normal
VID3297,Radar,Normal,42,"(38.3667, 59.56611)",26,Cellular,47,Occasionally,None,None,normal
VID5964,GPS,Disabled,100,"(88.63839, 51.89254)",81,Wi-Fi,56,Occasionally,None,None,compromised
VID5510,ECU,Normal,119,"(48.62476, 73.2226)",57,Wi-Fi,25,Daily,None,None,normal
VID6799,LIDAR,Disabled,119,"(52.39851, 51.41771)",93,Bluetooth,48,Weekly,None,None,normal
VID9037,Radar,Normal,31,"(47.24692, 48.96413)",95,Bluetooth,74,Occasionally,Spoofing,Wi-Fi,compromised
VID7739,Camera,Faulty,93,"(60.44718, 29.00998)",36,Bluetooth,94,Occasionally,DDoS,TCP,compromised
VID7423,GPS,Faulty,18,"(15.28, 80.90044)",37,Bluetooth,31,Daily,Spoofing,TCP,compromised
VID7121,ECU,Faulty,17,"(53.09494, 70.62926)",67,Cellular,14,Daily,MITM,UDP,compromised
VID2673,ECU,Faulty,27,"(82.02688, 61.67861)",62,Cellular,72,Daily,Spoofing,Wi-Fi,compromised
VID8478,GPS,Faulty,52,"(35.25885, 56.47561)",92,Cellular,12,Occasionally,Jamming,Wi-Fi,compromised
VID1506,ECU,Normal,85,"(42.088, 69.12075)",30,Cellular,33,Weekly,None,None,normal
VID8451,ECU,Normal,98,"(52.81616, 42.1888)",69,Bluetooth,41,Daily,None,None,normal
VID9970,Camera,Faulty,55,"(12.50586, 51.41828)",87,Bluetooth,17,Weekly,DDoS,Zigbee,compromised
VID6228,ECU,Faulty,23,"(17.64424, 20.61844)",49,Bluetooth,85,Occasionally,DDoS,Bluetooth,compromised
VID4056,Radar,Normal,8,"(24.46874, 11.10399)",26,Bluetooth,10,Weekly,None,None,normal
VID7535,ECU,Disabled,3,"(57.5759, 42.87569)",23,Wi-Fi,38,Daily,None,None,normal
VID9763,GPS,Normal,36,"(51.1272, 62.87741)",52,Bluetooth,27,Daily,None,None,normal
VID1378,ECU,Disabled,113,"(89.54853, 85.84375)",39,Bluetooth,89,Daily,DDoS,TCP,compromised
VID2830,LIDAR,Disabled,23,"(66.16917, 63.61837)",47,Cellular,84,Daily,MITM,UDP,compromised
VID8704,GPS,Normal,16,"(53.38378, 64.19148)",31,Bluetooth,22,Daily,None,None,normal
VID9885,LIDAR,Disabled,56,"(34.76696, 36.54785)",28,Bluetooth,99,Occasionally,MITM,Wi-Fi,compromised
VID2964,Radar,Normal,12,"(38.81184, 86.19839)",78,Bluetooth,96,Daily,DDoS,TCP,compromised
VID8204,LIDAR,Faulty,58,"(54.04369, 13.88906)",68,Cellular,79,Daily,MITM,Wi-Fi,compromised
VID4822,Radar,Normal,30,"(41.73915, 16.84518)",39,Cellular,78,Occasionally,Spoofing,UDP,compromised
VID9534,Camera,Normal,62,"(28.57939, 48.16837)",81,Wi-Fi,25,Daily,None,None,normal
VID6835,Camera,Disabled,19,"(83.50183, 80.08501)",72,Wi-Fi,78,Occasionally,None,None,compromised
VID9147,Radar,Disabled,70,"(31.33507, 86.37317)",20,Bluetooth,46,Occasionally,None,None,normal
VID5566,Radar,Disabled,38,"(52.67565, 84.01782)",70,Wi-Fi,39,Weekly,None,None,normal
VID3712,Camera,Faulty,97,"(68.06219, 68.28095)",67,Bluetooth,69,Weekly,None,None,compromised
VID2856,ECU,Disabled,14,"(81.29165, 48.51993)",93,Bluetooth,9,Daily,None,None,normal
VID1645,Camera,Normal,104,"(12.75799, 55.66583)",80,Wi-Fi,97,Weekly,Jamming,Bluetooth,compromised
VID7846,LIDAR,Faulty,105,"(44.31426, 89.62429)",42,Wi-Fi,19,Weekly,DDoS,TCP,compromised
VID3347,GPS,Disabled,33,"(26.78713, 84.33389)",63,Bluetooth,20,Occasionally,None,None,normal
VID8742,Radar,Disabled,44,"(89.41899, 40.33207)",77,Wi-Fi,14,Daily,None,None,normal
VID5472,GPS,Disabled,0,"(26.94581, 50.98166)",66,Bluetooth,89,Occasionally,MITM,Bluetooth,compromised
VID7469,Radar,Faulty,20,"(43.01494, 21.92096)",69,Cellular,86,Weekly,None,None,compromised
VID1342,Camera,Disabled,61,"(82.92098, 59.73741)",81,Bluetooth,39,Occasionally,None,None,normal
VID4718,Radar,Disabled,3,"(17.32629, 53.7554)",70,Bluetooth,52,Daily,Jamming,Wi-Fi,compromised
VID9647,LIDAR,Disabled,57,"(40.91011, 26.76425)",79,Cellular,15,Daily,None,None,normal
VID7192,Radar,Disabled,79,"(49.08449, 59.62912)",90,Wi-Fi,7,Occasionally,None,None,normal
VID3877,Radar,Faulty,85,"(89.16529, 41.65668)",42,Cellular,88,Daily,None,None,compromised
VID8810,Radar,Disabled,97,"(58.49426, 17.6085)",37,Cellular,44,Weekly,None,None,normal
VID6916,GPS,Disabled,97,"(74.65652, 81.94224)",64,Cellular,91,Daily,Spoofing,Wi-Fi,compromised
VID6009,Camera,Disabled,26,"(70.96408, 12.54699)",47,Bluetooth,92,Daily,None,None,compromised
VID4274,GPS,Normal,48,"(49.31921, 84.85751)",60,Bluetooth,7,Weekly,None,None,normal
VID2122,ECU,Normal,40,"(46.73724, 47.39886)",85,Cellular,50,Weekly,None,None,normal
VID4706,GPS,Normal,33,"(53.11816, 54.26508)",39,Wi-Fi,20,Daily,None,None,normal
VID4083,LIDAR,Faulty,100,"(12.33962, 41.57655)",81,Bluetooth,77,Daily,None,None,compromised
VID7175,ECU,Faulty,3,"(62.02358, 62.13999)",52,Cellular,40,Daily,MITM,UDP,compromised
VID5015,LIDAR,Disabled,120,"(56.00002, 27.9304)",80,Cellular,30,Weekly,None,None,normal
VID9598,Radar,Normal,27,"(42.80658, 70.89417)",52,Wi-Fi,86,Daily,DDoS,Bluetooth,compromised
VID1469,Camera,Normal,102,"(25.88662, 44.70136)",55,Bluetooth,34,Occasionally,None,None,normal
VID8042,Camera,Disabled,11,"(31.75101, 62.56895)",62,Cellular,77,Occasionally,Jamming,Bluetooth,compromised
VID9247,GPS,Faulty,29,"(35.49258, 65.51546)",81,Cellular,73,Daily,Jamming,UDP,compromised
VID2831,Radar,Disabled,110,"(80.57458, 82.39916)",33,Cellular,46,Occasionally,None,None,normal
VID7452,Camera,Normal,57,"(74.95136, 64.14107)",53,Bluetooth,41,Weekly,None,None,normal
VID2020,GPS,Normal,83,"(68.60735, 47.44852)",60,Wi-Fi,85,Occasionally,Jamming,Bluetooth,compromised
VID6310,Camera,Normal,85,"(80.79889, 41.47353)",86,Bluetooth,75,Daily,Jamming,TCP,compromised
VID9103,GPS,Faulty,115,"(67.86734, 48.13979)",80,Wi-Fi,7,Occasionally,Jamming,UDP,compromised
VID1814,GPS,Disabled,20,"(43.21148, 83.07808)",68,Wi-Fi,32,Weekly,None,None,normal
VID6073,GPS,Disabled,59,"(16.72979, 75.53579)",83,Cellular,33,Occasionally,None,None,normal
VID5124,ECU,Normal,72,"(72.86929, 25.28601)",69,Wi-Fi,66,Daily,Spoofing,UDP,compromised
VID4590,ECU,Faulty,26,"(51.74468, 34.84985)",98,Bluetooth,3,Weekly,DDoS,UDP,compromised
VID1955,Camera,Normal,118,"(44.48907, 44.81353)",87,Bluetooth,17,Weekly,None,None,normal
VID6586,GPS,Faulty,29,"(10.31129, 87.53844)",80,Cellular,83,Occasionally,None,None,compromised
VID5644,Radar,Disabled,107,"(56.21236, 11.88518)",49,Wi-Fi,15,Daily,None,None,normal
VID6095,Camera,Normal,69,"(34.15747, 62.99631)",75,Bluetooth,30,Occasionally,None,None,normal
VID7459,Radar,Normal,64,"(77.09732, 20.74262)",64,Bluetooth,23,Occasionally,None,None,normal
VID8801,ECU,Faulty,113,"(67.95711, 66.68217)",57,Cellular,16,Daily,DDoS,TCP,compromised
VID1683,Camera,Faulty,120,"(86.4684, 75.32783)",70,Wi-Fi,85,Daily,None,None,compromised
VID4149,ECU,Normal,62,"(87.36329, 23.99883)",54,Wi-Fi,21,Occasionally,None,None,normal
VID5316,Camera,Normal,57,"(63.75891, 46.56352)",44,Bluetooth,46,Weekly,None,None,normal
VID1487,Camera,Faulty,36,"(46.36165, 64.07269)",63,Cellular,92,Daily,DDoS,TCP,compromised
VID2687,GPS,Disabled,6,"(48.4971, 23.25474)",23,Wi-Fi,48,Occasionally,None,None,normal
VID4114,GPS,Faulty,49,"(83.41853, 21.25574)",47,Cellular,77,Occasionally,DDoS,Wi-Fi,compromised
VID7430,Camera,Disabled,102,"(43.95378, 85.8668)",79,Cellular,5,Weekly,None,None,normal
VID8212,LIDAR,Normal,100,"(16.07717, 57.864)",24,Bluetooth,46,Occasionally,None,None,normal
VID9558,ECU,Disabled,102,"(84.20534, 50.68007)",97,Bluetooth,7,Occasionally,None,None,normal
VID2423,ECU,Disabled,3,"(23.3417, 74.62926)",51,Wi-Fi,29,Weekly,None,None,normal
VID4964,ECU,Normal,46,"(54.25146, 57.66586)",37,Cellular,38,Occasionally,None,None,normal
VID9536,ECU,Disabled,72,"(34.09263, 25.30523)",91,Bluetooth,22,Daily,None,None,normal
VID5565,Camera,Disabled,33,"(83.22453, 67.43108)",97,Cellular,7,Daily,None,None,normal
VID8066,Camera,Normal,7,"(68.98796, 33.37198)",100,Bluetooth,94,Occasionally,Jamming,TCP,compromised
VID1935,Radar,Disabled,101,"(76.08616, 45.58967)",90,Cellular,84,Occasionally,Spoofing,Bluetooth,compromised
VID4906,Camera,Disabled,87,"(19.86708, 66.34904)",56,Wi-Fi,84,Occasionally,Jamming,Wi-Fi,compromised
VID1736,LIDAR,Normal,46,"(48.06747, 20.9657)",78,Cellular,69,Weekly,Spoofing,UDP,compromised
VID7520,GPS,Disabled,32,"(63.62337, 87.69303)",99,Bluetooth,95,Occasionally,Spoofing,Wi-Fi,compromised
VID8840,LIDAR,Disabled,6,"(14.1192, 19.18087)",60,Bluetooth,83,Daily,MITM,Zigbee,compromised
VID8321,GPS,Normal,74,"(61.08189, 85.5552)",69,Bluetooth,13,Weekly,None,None,normal
VID5356,LIDAR,Normal,95,"(46.46928, 21.41134)",20,Wi-Fi,13,Occasionally,None,None,normal
VID8389,GPS,Disabled,119,"(85.12644, 49.5648)",59,Wi-Fi,50,Weekly,None,None,normal
VID2551,Radar,Normal,69,"(25.5835, 37.67217)",53,Wi-Fi,28,Occasionally,None,None,normal
VID8557,ECU,Faulty,105,"(61.67737, 57.22895)",34,Cellular,38,Weekly,Jamming,UDP,compromised
VID7186,GPS,Normal,107,"(13.69205, 17.49029)",21,Cellular,80,Weekly,Spoofing,Bluetooth,compromised
VID3306,Radar,Normal,63,"(78.13695, 46.21273)",100,Cellular,16,Daily,None,None,normal
VID7356,Camera,Disabled,68,"(67.624, 18.70698)",47,Wi-Fi,26,Daily,None,None,normal
VID3802,Camera,Disabled,9,"(73.30719, 40.22405)",41,Bluetooth,78,Daily,Jamming,Zigbee,compromised
VID1175,Radar,Normal,107,"(77.3771, 37.1689)",48,Cellular,100,Daily,Spoofing,Wi-Fi,compromised
VID8763,LIDAR,Normal,101,"(29.00557, 28.70563)",57,Cellular,0,Weekly,None,None,normal
VID4862,Camera,Faulty,102,"(61.94065, 74.62912)",96,Wi-Fi,32,Daily,Jamming,Bluetooth,compromised
VID3392,ECU,Disabled,86,"(14.35043, 87.15148)",67,Cellular,30,Occasionally,None,None,normal
VID7936,Camera,Normal,29,"(48.75002, 38.55005)",76,Wi-Fi,11,Daily,None,None,normal
VID1110,Camera,Faulty,45,"(11.37887, 70.87508)",82,Bluetooth,66,Weekly,Spoofing,Zigbee,compromised
VID4184,GPS,Disabled,23,"(29.20584, 58.34619)",52,Wi-Fi,59,Daily,MITM,TCP,compromised
VID7593,Camera,Faulty,89,"(43.11567, 49.87466)",44,Bluetooth,64,Daily,None,None,compromised
VID2986,Camera,Faulty,33,"(66.67854, 18.67572)",35,Cellular,83,Occasionally,Spoofing,Wi-Fi,compromised
VID8998,Camera,Normal,59,"(64.06516, 15.3645)",64,Bluetooth,34,Daily,None,None,normal
VID3793,GPS,Disabled,82,"(14.58413, 68.59181)",33,Bluetooth,25,Weekly,None,None,normal
VID6267,LIDAR,Faulty,28,"(84.43482, 55.61823)",84,Bluetooth,3,Weekly,DDoS,Wi-Fi,compromised
VID4638,Camera,Disabled,83,"(67.59502, 14.02004)",77,Cellular,46,Weekly,None,None,normal
VID2596,Radar,Disabled,17,"(65.96544, 64.0958)",63,Wi-Fi,9,Daily,None,None,normal
VID8280,LIDAR,Normal,45,"(86.01326, 69.33793)",93,Cellular,10,Daily,None,None,normal
VID5560,LIDAR,Faulty,0,"(38.89752, 13.71404)",96,Wi-Fi,79,Daily,MITM,Wi-Fi,compromised
VID3523,ECU,Faulty,84,"(12.08781, 25.5582)",95,Wi-Fi,9,Weekly,Spoofing,TCP,compromised
VID7070,ECU,Faulty,54,"(37.52628, 87.20592)",26,Wi-Fi,0,Occasionally,Jamming,Zigbee,compromised
VID5313,Radar,Faulty,13,"(28.3515, 73.06008)",80,Wi-Fi,55,Weekly,DDoS,UDP,compromised
VID2990,Radar,Disabled,6,"(34.95482, 38.92515)",70,Wi-Fi,96,Occasionally,Spoofing,Zigbee,compromised
VID9953,GPS,Normal,20,"(52.15472, 47.29768)",88,Cellular,66,Occasionally,DDoS,Bluetooth,compromised
VID3589,Radar,Disabled,90,"(86.78054, 35.52971)",66,Bluetooth,14,Weekly,None,None,normal
VID4658,Radar,Disabled,101,"(54.54473, 72.42066)",75,Cellular,66,Weekly,Jamming,Bluetooth,compromised
VID4375,LIDAR,Faulty,69,"(52.19373, 52.76077)",74,Wi-Fi,15,Weekly,MITM,Wi-Fi,compromised
VID8031,ECU,Normal,76,"(66.35343, 50.10429)",28,Wi-Fi,79,Daily,None,None,compromised
VID1057,LIDAR,Faulty,24,"(81.11936, 61.33269)",23,Wi-Fi,100,Daily,Spoofing,Wi-Fi,compromised
VID5396,Radar,Disabled,83,"(75.22098, 26.34822)",81,Bluetooth,30,Daily,None,None,normal
VID9622,GPS,Faulty,69,"(40.84531, 79.91404)",32,Cellular,53,Occasionally,MITM,UDP,compromised
VID1328,LIDAR,Faulty,52,"(34.87575, 63.34623)",33,Wi-Fi,48,Weekly,MITM,Zigbee,compromised
VID2390,GPS,Disabled,60,"(65.69115, 87.32401)",83,Wi-Fi,66,Occasionally,Jamming,Zigbee,compromised
VID4033,GPS,Faulty,17,"(36.28679, 35.40941)",41,Wi-Fi,75,Weekly,None,None,compromised
VID5093,ECU,Disabled,99,"(25.68816, 42.97409)",66,Bluetooth,7,Weekly,None,None,normal
VID6947,ECU,Disabled,3,"(17.7738, 57.00621)",65,Cellular,88,Weekly,DDoS,UDP,compromised
VID6368,Radar,Normal,98,"(55.05871, 45.42821)",99,Cellular,44,Daily,None,None,normal
VID8108,GPS,Disabled,91,"(72.59829, 47.87664)",83,Cellular,79,Occasionally,MITM,Zigbee,compromised
VID9495,GPS,Disabled,107,"(68.63945, 36.94723)",89,Bluetooth,68,Occasionally,Jamming,UDP,compromised
VID4509,ECU,Normal,11,"(87.85258, 53.92088)",38,Bluetooth,48,Weekly,None,None,normal
VID3906,ECU,Normal,115,"(75.9576, 38.26302)",86,Cellular,17,Weekly,None,None,normal
VID7580,ECU,Disabled,99,"(11.81829, 76.58778)",39,Cellular,38,Occasionally,None,None,normal
VID2286,GPS,Disabled,5,"(56.88557, 24.62343)",67,Cellular,76,Weekly,DDoS,Wi-Fi,compromised
VID9043,LIDAR,Normal,78,"(13.63134, 31.6496)",33,Cellular,1,Weekly,None,None,normal
VID5313,Radar,Faulty,13,"(28.3515, 73.06008)",80,Wi-Fi,55,Weekly,DDoS,UDP,compromised
VID2864,ECU,Disabled,107,"(84.13596, 50.98118)",24,Wi-Fi,16,Weekly,None,None,normal
VID9774,ECU,Normal,104,"(20.68006, 56.89684)",53,Wi-Fi,56,Daily,None,None,compromised
VID1500,Camera,Normal,11,"(26.06418, 54.33526)",96,Bluetooth,0,Occasionally,None,None,normal
VID1833,LIDAR,Normal,7,"(37.8056, 27.9504)",40,Bluetooth,31,Weekly,None,None,normal
VID9168,GPS,Disabled,96,"(58.31023, 75.98782)",56,Wi-Fi,23,Occasionally,None,None,normal
VID1753,LIDAR,Normal,77,"(19.83091, 64.18004)",69,Cellular,31,Daily,None,None,normal
VID1735,GPS,Faulty,68,"(30.28088, 30.06547)",32,Bluetooth,72,Occasionally,None,None,compromised
VID5202,Radar,Faulty,99,"(28.30978, 54.49349)",45,Cellular,88,Daily,MITM,UDP,compromised
VID3832,Camera,Disabled,62,"(10.68748, 41.18344)",52,Wi-Fi,98,Daily,Jamming,Wi-Fi,compromised
VID9736,Camera,Normal,30,"(10.2487, 84.52791)",40,Cellular,84,Occasionally,None,None,compromised
VID4771,ECU,Faulty,120,"(75.71164, 85.21325)",27,Cellular,26,Daily,None,None,compromised
VID3457,ECU,Faulty,33,"(40.50406, 37.81262)",88,Cellular,66,Daily,None,None,compromised
VID5721,Radar,Disabled,35,"(25.80307, 17.98909)",72,Bluetooth,75,Occasionally,Spoofing,Zigbee,compromised
VID1071,Radar,Normal,64,"(15.67663, 48.25387)",85,Cellular,100,Occasionally,Spoofing,Wi-Fi,compromised
VID7817,ECU,Faulty,33,"(61.7333, 13.90134)",44,Bluetooth,20,Occasionally,Spoofing,Bluetooth,compromised
VID8611,LIDAR,Disabled,96,"(86.88298, 36.70926)",49,Bluetooth,29,Daily,None,None,normal
VID7263,Radar,Normal,87,"(74.18383, 11.12965)",68,Bluetooth,35,Daily,None,None,normal
VID5271,ECU,Normal,6,"(57.07715, 75.89806)",84,Cellular,45,Daily,None,None,normal
VID2759,ECU,Normal,36,"(66.34291, 19.67597)",38,Cellular,73,Occasionally,DDoS,Zigbee,compromised
VID3899,LIDAR,Faulty,69,"(48.25536, 81.85977)",47,Wi-Fi,13,Occasionally,DDoS,TCP,compromised
VID4275,GPS,Normal,62,"(66.40025, 67.0988)",93,Cellular,43,Occasionally,None,None,normal
VID4197,Radar,Normal,57,"(19.7629, 67.92714)",25,Wi-Fi,66,Weekly,Spoofing,Bluetooth,compromised
VID1778,GPS,Disabled,108,"(86.42951, 74.45568)",54,Wi-Fi,49,Weekly,None,None,normal
VID1384,LIDAR,Normal,66,"(59.18013, 24.8224)",66,Bluetooth,79,Weekly,MITM,TCP,compromised
VID1039,Radar,Faulty,53,"(49.08276, 66.72312)",71,Bluetooth,23,Daily,Jamming,TCP,compromised
VID1023,Camera,Faulty,33,"(83.52139, 32.69345)",76,Bluetooth,20,Weekly,MITM,TCP,compromised
VID6521,Radar,Disabled,11,"(61.71677, 47.70786)",87,Cellular,68,Weekly,MITM,Bluetooth,compromised
VID1692,GPS,Normal,70,"(84.70113, 46.78)",73,Cellular,49,Daily,None,None,normal
VID9591,LIDAR,Faulty,43,"(35.42859, 72.64029)",93,Wi-Fi,76,Occasionally,MITM,TCP,compromised
VID2796,ECU,Disabled,102,"(18.65969, 47.67449)",87,Bluetooth,33,Daily,None,None,normal
VID3713,GPS,Faulty,44,"(49.70542, 33.24748)",68,Bluetooth,26,Daily,Jamming,Zigbee,compromised
VID8694,LIDAR,Disabled,111,"(18.66957, 64.40099)",41,Bluetooth,45,Daily,None,None,normal
VID4362,LIDAR,Faulty,116,"(47.09997, 74.28842)",54,Cellular,7,Daily,None,None,compromised
VID9420,GPS,Normal,18,"(34.79609, 81.19393)",49,Wi-Fi,9,Daily,None,None,normal
VID5516,GPS,Normal,77,"(12.81897, 50.22683)",39,Bluetooth,20,Occasionally,None,None,normal
VID6461,GPS,Faulty,31,"(85.38189, 37.45672)",59,Wi-Fi,80,Daily,MITM,Wi-Fi,compromised
VID9979,Camera,Faulty,8,"(31.33954, 70.64102)",87,Cellular,75,Daily,DDoS,Bluetooth,compromised
VID6271,Radar,Disabled,47,"(11.53093, 59.38378)",33,Bluetooth,71,Occasionally,None,None,compromised
VID3053,ECU,Normal,66,"(51.26622, 20.75914)",95,Cellular,28,Weekly,None,None,normal
VID5895,ECU,Faulty,30,"(55.31464, 44.89865)",81,Wi-Fi,24,Daily,None,None,compromised
