Device ID,Device Name,Battery Level (%),Temperature (°C),Signal Strength (%),Operational Hours,Maintenance Status,Criticality Level,Threat Detection Alerts,Firmware Vulnerabilities,Environment Type,Service Interval (days),Event Logs,Calibration Status,Device Health
ID3048,Body Armor Sensor,93,35,93,393,Yes,Medium,2,2,Forest,108,36,Yes,normal
ID7370,Drone,38,15,73,460,Yes,Medium,16,0,Arctic,104,66,Yes,normal
ID1007,Communication Equipment,94,31,33,319,No,Low,32,0,Urban,163,22,No,compromised
ID3217,Weapon System,28,47,62,117,Yes,Low,48,0,Desert,89,27,Yes,normal
ID9913,Surveillance Camera,81,43,54,321,Yes,High,38,3,Arctic,51,83,Yes,normal
ID6817,Communication Equipment,49,29,44,323,Yes,Low,3,0,Forest,59,22,Yes,normal
ID2518,Weapon System,91,14,90,334,Yes,Low,10,3,Urban,79,77,Yes,normal
ID8301,Radar System,55,50,52,253,Yes,High,34,2,Desert,115,53,Yes,normal
ID4642,Weapon System,85,32,64,235,Yes,Medium,43,1,Arctic,114,55,No,compromised
ID4630,Drone,20,35,57,326,No,High,6,3,Urban,51,12,No,compromised
ID9366,Weapon System,62,0,42,183,No,High,87,3,Forest,48,97,Yes,compromised
ID2132,Unmanned Ground Vehicle,44,6,57,332,Yes,Low,42,3,Arctic,32,100,Yes,normal
ID8159,Unmanned Ground Vehicle,51,12,77,381,Yes,High,32,4,Urban,101,6,Yes,normal
ID1554,Unmanned Ground Vehicle,76,59,50,437,Yes,High,72,3,Arctic,107,132,No,compromised
ID2638,Radar System,99,13,50,196,Yes,High,32,3,Urban,121,145,No,compromised
ID6632,Surveillance Camera,98,16,69,203,Yes,Low,39,0,Desert,101,61,Yes,normal
ID7702,Body Armor Sensor,11,18,48,485,No,High,52,5,Forest,170,67,Yes,compromised
ID4943,Drone,27,22,88,119,Yes,Low,36,4,Desert,62,99,No,compromised
ID8000,Surveillance Camera,71,45,74,103,Yes,High,31,5,Forest,179,118,No,compromised
ID6133,Unmanned Ground Vehicle,89,8,21,373,Yes,Medium,5,3,Forest,73,11,No,compromised
ID1326,Unmanned Ground Vehicle,94,21,41,361,Yes,High,41,1,Arctic,95,21,Yes,normal
ID1256,Surveillance Camera,52,23,88,240,Yes,Low,34,2,Arctic,85,79,Yes,normal
ID5851,Unmanned Ground Vehicle,15,25,27,349,Yes,High,38,5,Forest,119,51,No,compromised
ID7292,Body Armor Sensor,46,27,92,431,Yes,High,21,4,Urban,73,36,Yes,normal
ID9145,Body Armor Sensor,47,21,60,121,Yes,High,15,5,Arctic,122,45,Yes,normal
ID3021,Body Armor Sensor,16,41,61,378,No,High,60,0,Desert,33,196,No,compromised
ID6447,Radar System,24,-6,93,393,Yes,High,26,4,Arctic,138,19,Yes,normal
ID2102,Surveillance Camera,73,36,79,302,No,Low,49,2,Desert,135,172,No,compromised
ID4114,Body Armor Sensor,79,-5,56,450,Yes,Low,30,1,Urban,92,186,Yes,compromised
ID9453,Drone,96,-9,39,229,Yes,High,34,1,Desert,52,38,Yes,normal
ID7289,Drone,54,-4,50,318,Yes,Low,44,4,Forest,49,17,Yes,normal
ID1981,Radar System,75,36,42,496,Yes,Low,33,0,Arctic,57,6,Yes,normal
ID7645,Surveillance Camera,31,19,69,174,Yes,Low,47,0,Arctic,162,116,Yes,compromised
ID9421,Radar System,67,35,85,183,No,Medium,10,0,Arctic,125,70,No,compromised
ID6689,Weapon System,18,51,36,386,Yes,High,56,5,Arctic,149,59,No,compromised
ID1900,Communication Equipment,89,6,75,250,No,Medium,53,4,Arctic,139,92,No,compromised
ID1638,Weapon System,95,15,96,247,Yes,Low,75,1,Arctic,76,169,No,compromised
ID2638,Surveillance Camera,87,37,80,289,No,Low,31,4,Urban,110,86,Yes,compromised
ID8095,Drone,74,25,57,131,Yes,High,16,1,Arctic,60,73,Yes,normal
ID7699,Body Armor Sensor,81,44,97,111,Yes,Low,29,5,Arctic,152,48,No,compromised
ID1948,Drone,65,2,49,278,No,Medium,36,2,Arctic,37,24,Yes,compromised
ID8275,Surveillance Camera,28,-8,90,111,Yes,High,53,1,Forest,113,171,Yes,compromised
ID5741,Surveillance Camera,50,40,98,448,Yes,Low,42,4,Urban,153,98,Yes,normal
ID4174,Communication Equipment,74,40,47,361,Yes,Low,28,2,Forest,168,88,Yes,normal
ID3784,Communication Equipment,42,48,50,498,Yes,Low,17,3,Desert,145,181,Yes,compromised
ID4252,Unmanned Ground Vehicle,29,15,89,214,Yes,Medium,4,5,Forest,98,80,Yes,normal
ID7742,Communication Equipment,52,27,34,135,Yes,Low,46,4,Desert,46,9,Yes,normal
ID2876,Radar System,33,56,73,166,Yes,Low,64,4,Desert,137,114,Yes,compromised
ID5086,Surveillance Camera,98,30,75,340,Yes,Medium,40,4,Desert,96,2,Yes,normal
ID5774,Radar System,83,42,70,188,Yes,Low,31,4,Arctic,97,14,Yes,normal
ID8502,Unmanned Ground Vehicle,80,37,99,226,Yes,High,33,3,Desert,141,148,No,compromised
ID8731,Unmanned Ground Vehicle,76,38,33,283,Yes,Low,36,1,Urban,129,86,Yes,normal
ID6912,Unmanned Ground Vehicle,34,42,30,475,Yes,Low,14,1,Forest,177,73,Yes,normal
ID8840,Surveillance Camera,88,39,59,367,Yes,Medium,5,5,Forest,53,39,Yes,normal
ID1675,Body Armor Sensor,94,17,38,465,Yes,Medium,55,1,Urban,111,71,Yes,compromised
ID5167,Drone,39,-1,98,391,Yes,High,0,1,Forest,53,62,Yes,normal
ID3625,Weapon System,37,41,89,373,Yes,Low,44,3,Desert,73,188,No,compromised
ID6100,Communication Equipment,21,11,51,353,Yes,High,40,3,Urban,125,17,Yes,normal
ID5942,Unmanned Ground Vehicle,69,-1,56,481,Yes,Medium,28,2,Forest,106,84,Yes,normal
ID9828,Body Armor Sensor,46,18,82,122,Yes,High,6,0,Desert,158,47,Yes,normal
ID4392,Communication Equipment,72,43,43,284,Yes,Medium,36,2,Forest,50,169,No,compromised
ID4790,Weapon System,19,58,71,403,Yes,Low,49,3,Urban,51,41,Yes,compromised
ID7111,Radar System,14,-9,51,331,Yes,Low,6,2,Arctic,58,154,Yes,compromised
ID8189,Communication Equipment,21,31,49,485,No,Medium,22,3,Urban,148,102,No,compromised
ID4702,Weapon System,48,20,66,294,No,Medium,64,4,Arctic,108,146,No,compromised
ID5449,Surveillance Camera,36,0,86,258,Yes,High,13,2,Arctic,141,79,Yes,normal
ID4253,Radar System,40,9,45,251,Yes,Low,11,2,Arctic,42,37,Yes,normal
ID6250,Weapon System,85,48,24,221,No,High,34,2,Arctic,76,93,No,compromised
ID3620,Body Armor Sensor,32,22,100,342,Yes,High,30,3,Arctic,128,75,Yes,normal
ID1110,Radar System,91,31,34,133,No,Medium,77,1,Desert,169,132,Yes,compromised
ID3908,Surveillance Camera,28,-1,94,359,Yes,Medium,95,3,Forest,58,105,No,compromised
ID3631,Unmanned Ground Vehicle,52,-9,67,219,Yes,Medium,24,2,Arctic,97,71,Yes,normal
ID3380,Body Armor Sensor,54,9,74,107,No,Medium,71,5,Desert,91,69,Yes,compromised
ID2263,Communication Equipment,54,19,50,430,Yes,High,42,4,Forest,133,23,Yes,normal
ID1974,Weapon System,59,-7,25,196,Yes,High,78,1,Desert,170,14,Yes,compromised
ID7062,Surveillance Camera,92,-2,69,432,Yes,Medium,77,1,Urban,69,102,No,compromised
ID8799,Surveillance Camera,45,40,42,431,Yes,High,71,3,Urban,158,140,No,compromised
ID4358,Radar System,32,-5,74,290,Yes,Low,29,4,Urban,38,46,Yes,normal
ID2435,Drone,67,16,84,348,Yes,High,9,1,Forest,135,63,Yes,normal
ID5267,Surveillance Camera,56,29,93,416,Yes,Medium,73,1,Desert,83,118,No,compromised
ID8395,Unmanned Ground Vehicle,37,31,39,257,Yes,Low,82,4,Forest,74,143,No,compromised
ID8123,Surveillance Camera,55,-7,67,299,Yes,Medium,24,2,Urban,179,70,Yes,normal
ID4323,Weapon System,70,26,91,382,Yes,High,9,1,Urban,179,8,Yes,normal
ID2909,Unmanned Ground Vehicle,99,5,74,132,Yes,Low,60,1,Urban,34,54,No,compromised
ID7138,Weapon System,27,57,35,429,No,High,61,4,Forest,112,84,No,compromised
ID8445,Body Armor Sensor,89,6,74,458,No,High,75,2,Arctic,168,148,Yes,compromised
ID3901,Communication Equipment,46,13,47,236,No,Medium,30,1,Urban,133,78,No,compromised
ID1903,Drone,55,14,77,159,Yes,Medium,39,5,Arctic,139,59,Yes,normal
ID6724,Surveillance Camera,98,20,54,404,Yes,High,35,3,Urban,32,37,Yes,normal
ID4450,Drone,43,19,63,239,Yes,Medium,19,5,Forest,85,69,Yes,normal
ID4603,Drone,63,18,48,497,Yes,Low,4,1,Urban,90,29,Yes,normal
ID2271,Surveillance Camera,83,44,75,414,Yes,Medium,48,0,Arctic,38,5,Yes,normal
ID2227,Weapon System,69,42,51,196,Yes,Medium,1,3,Desert,158,9,Yes,normal
ID6782,Body Armor Sensor,91,14,22,498,No,Low,28,0,Forest,162,9,Yes,compromised
ID1955,Unmanned Ground Vehicle,73,-1,44,356,No,Medium,10,0,Urban,138,146,No,compromised
ID7500,Surveillance Camera,26,30,82,218,Yes,Medium,43,5,Desert,141,2,Yes,normal
ID5495,Drone,95,0,67,147,Yes,Medium,19,4,Arctic,97,79,Yes,normal
ID5719,Weapon System,22,-6,93,277,No,High,24,5,Forest,172,132,No,compromised
ID5501,Surveillance Camera,21,19,57,250,Yes,Medium,25,2,Arctic,133,87,Yes,normal
ID1332,Body Armor Sensor,24,36,31,415,Yes,Low,48,0,Forest,73,86,Yes,normal
ID8620,Surveillance Camera,37,34,42,115,Yes,High,24,0,Desert,136,23,Yes,normal
ID3776,Drone,63,27,43,176,Yes,High,40,0,Desert,110,13,Yes,normal
ID3325,Radar System,47,33,37,392,Yes,Low,17,1,Urban,128,45,Yes,normal
ID9129,Weapon System,44,18,98,179,Yes,Low,7,4,Arctic,39,134,No,compromised
ID8367,Surveillance Camera,63,57,29,391,Yes,High,3,2,Desert,177,74,No,compromised
ID9227,Weapon System,57,41,33,193,No,Low,31,5,Arctic,168,126,No,compromised
ID4923,Unmanned Ground Vehicle,35,-10,33,475,Yes,Low,42,0,Forest,140,28,Yes,normal
ID3658,Drone,72,12,67,316,No,Low,36,2,Forest,126,149,Yes,compromised
ID5677,Surveillance Camera,78,0,50,397,Yes,Medium,21,5,Forest,125,1,Yes,normal
ID2588,Radar System,69,43,64,124,Yes,High,25,1,Desert,175,73,Yes,normal
ID2550,Communication Equipment,81,37,71,243,Yes,Medium,37,0,Desert,45,74,Yes,normal
ID2231,Body Armor Sensor,93,25,31,389,Yes,Low,19,1,Desert,75,4,Yes,normal
ID3091,Surveillance Camera,26,33,20,201,Yes,Medium,62,4,Urban,151,196,Yes,compromised
ID1786,Weapon System,70,-10,56,489,Yes,Medium,65,2,Arctic,96,72,No,compromised
ID9519,Communication Equipment,70,47,31,288,Yes,Medium,2,4,Forest,125,11,Yes,normal
ID7688,Body Armor Sensor,75,4,87,487,Yes,Low,14,1,Forest,89,83,Yes,normal
ID9756,Radar System,63,35,68,488,No,Medium,59,0,Forest,158,140,Yes,compromised
ID2030,Communication Equipment,62,20,49,194,Yes,Medium,49,2,Forest,158,28,Yes,normal
ID2165,Weapon System,47,44,72,323,Yes,Low,37,1,Forest,139,99,Yes,normal
ID1844,Weapon System,51,40,64,336,Yes,Low,14,1,Urban,117,33,Yes,normal
ID1439,Weapon System,46,-7,68,226,Yes,Medium,100,0,Forest,154,180,No,compromised
ID1961,Drone,57,30,33,121,No,High,20,4,Arctic,96,161,No,compromised
ID2845,Weapon System,12,49,53,270,No,Low,0,0,Desert,143,44,Yes,compromised
ID1141,Communication Equipment,80,-9,59,364,Yes,Medium,15,4,Urban,91,57,Yes,normal
ID4564,Surveillance Camera,31,48,82,168,Yes,High,36,1,Arctic,122,50,Yes,normal
ID2165,Surveillance Camera,51,14,54,377,Yes,Low,56,0,Arctic,44,86,Yes,compromised
ID6700,Communication Equipment,29,25,30,226,Yes,High,17,5,Arctic,166,33,Yes,normal
ID7756,Radar System,39,-9,28,113,Yes,High,39,1,Urban,76,135,Yes,compromised
ID2560,Drone,23,22,59,153,Yes,High,16,2,Desert,76,53,Yes,normal
ID5769,Unmanned Ground Vehicle,66,26,63,459,No,Medium,53,2,Desert,48,129,Yes,compromised
ID1007,Body Armor Sensor,10,25,36,492,Yes,High,10,5,Desert,62,158,No,compromised
ID2347,Drone,63,0,83,180,No,High,83,2,Arctic,156,107,No,compromised
ID5649,Unmanned Ground Vehicle,65,49,78,481,Yes,Low,7,2,Desert,39,81,Yes,normal
ID4357,Communication Equipment,68,45,79,232,Yes,Medium,23,3,Urban,150,41,Yes,normal
ID9952,Unmanned Ground Vehicle,95,7,59,192,Yes,Medium,19,4,Arctic,177,67,Yes,normal
ID2744,Unmanned Ground Vehicle,42,59,86,315,No,Medium,50,4,Urban,137,125,No,compromised
ID9500,Body Armor Sensor,44,20,77,376,Yes,Medium,12,1,Forest,42,59,Yes,normal
ID3216,Surveillance Camera,87,4,47,211,Yes,High,29,0,Desert,53,83,Yes,normal
ID2733,Radar System,40,30,93,464,No,High,14,5,Arctic,125,87,No,compromised
ID3846,Radar System,53,15,30,379,Yes,Low,30,0,Desert,168,78,Yes,normal
ID9162,Radar System,64,11,33,211,Yes,High,48,2,Urban,70,19,Yes,normal
ID1710,Body Armor Sensor,65,9,93,115,Yes,High,24,3,Forest,107,110,Yes,compromised
ID6879,Body Armor Sensor,27,0,38,486,Yes,Low,29,0,Forest,34,44,Yes,normal
ID5395,Communication Equipment,31,10,41,155,Yes,High,80,0,Forest,66,8,Yes,compromised
ID4632,Radar System,36,17,91,236,Yes,Low,71,5,Forest,40,60,No,compromised
ID7129,Body Armor Sensor,94,-8,92,136,Yes,Medium,29,5,Forest,44,29,Yes,normal
ID4150,Surveillance Camera,69,3,65,458,Yes,High,71,2,Forest,140,97,Yes,compromised
ID4418,Communication Equipment,27,28,100,444,Yes,Medium,65,4,Urban,81,131,No,compromised
ID4738,Unmanned Ground Vehicle,42,31,95,398,Yes,High,22,1,Arctic,76,81,Yes,normal
ID7058,Radar System,48,58,53,309,Yes,Medium,61,1,Desert,117,106,No,compromised
ID1769,Surveillance Camera,26,10,79,213,Yes,High,39,5,Desert,93,69,Yes,normal
ID5481,Unmanned Ground Vehicle,84,5,79,304,No,High,21,5,Arctic,64,100,Yes,compromised
ID9377,Communication Equipment,41,41,76,487,Yes,Low,20,2,Urban,79,142,Yes,compromised
ID8409,Weapon System,52,40,66,345,Yes,Medium,41,5,Desert,33,94,Yes,normal
ID2282,Radar System,90,9,83,285,Yes,Medium,37,2,Arctic,167,58,Yes,normal
ID5608,Drone,63,20,63,273,No,High,96,2,Arctic,130,79,Yes,compromised
ID5052,Weapon System,52,19,78,359,No,Medium,64,2,Urban,110,30,No,compromised
ID2030,Drone,35,14,91,264,Yes,High,25,2,Arctic,44,53,Yes,normal
ID6841,Body Armor Sensor,59,9,26,385,Yes,High,69,1,Desert,173,76,No,compromised
ID4288,Surveillance Camera,42,0,96,254,Yes,High,23,0,Desert,64,14,Yes,normal
ID2661,Unmanned Ground Vehicle,85,-1,73,321,No,Low,92,3,Urban,99,49,Yes,compromised
ID1627,Drone,47,29,79,286,No,Low,52,0,Arctic,58,102,Yes,compromised
ID4028,Weapon System,14,10,48,127,No,Low,6,0,Desert,67,117,Yes,compromised
ID2733,Unmanned Ground Vehicle,31,35,40,352,Yes,Medium,12,3,Urban,159,27,Yes,normal
ID7913,Weapon System,77,30,61,297,Yes,Low,39,5,Arctic,89,86,Yes,normal
ID4137,Drone,25,19,48,334,Yes,High,29,0,Forest,106,42,Yes,normal
ID2683,Weapon System,79,12,63,337,Yes,Medium,16,3,Desert,100,120,Yes,compromised
ID9533,Weapon System,10,28,80,220,No,Medium,90,4,Desert,65,43,No,compromised
ID4690,Weapon System,67,24,20,197,Yes,Low,52,3,Desert,89,40,Yes,compromised
ID9579,Surveillance Camera,76,4,47,225,Yes,Low,25,0,Urban,80,40,Yes,normal
ID3613,Communication Equipment,57,19,36,302,No,High,74,4,Desert,45,158,Yes,compromised
ID8345,Radar System,54,-3,32,114,Yes,High,87,5,Desert,158,78,Yes,compromised
ID4498,Weapon System,28,17,94,191,Yes,Low,45,0,Arctic,38,49,Yes,normal
ID1982,Unmanned Ground Vehicle,76,39,86,382,Yes,Low,0,0,Arctic,165,80,Yes,normal
ID5160,Weapon System,73,34,85,298,Yes,Medium,31,1,Desert,160,36,Yes,normal
ID3312,Drone,64,46,24,159,No,Medium,15,4,Desert,89,134,No,compromised
ID6869,Communication Equipment,48,16,60,209,Yes,High,29,1,Urban,35,12,Yes,normal
ID1357,Communication Equipment,29,0,53,353,Yes,Low,73,2,Arctic,43,132,Yes,compromised
ID3721,Weapon System,25,7,58,117,Yes,Low,6,0,Arctic,153,43,Yes,normal
ID1158,Unmanned Ground Vehicle,73,21,64,486,Yes,Low,20,0,Forest,73,15,Yes,normal
ID7043,Communication Equipment,52,47,46,306,Yes,Low,31,0,Desert,34,78,No,compromised
ID8704,Surveillance Camera,57,33,62,175,No,Medium,61,5,Arctic,145,22,Yes,compromised
ID9522,Communication Equipment,61,6,53,440,Yes,Low,24,5,Urban,58,7,Yes,normal
ID5779,Unmanned Ground Vehicle,55,-10,51,343,Yes,High,26,1,Desert,49,90,Yes,normal
ID4033,Communication Equipment,51,21,22,408,No,Medium,98,1,Forest,109,154,Yes,compromised
ID3514,Communication Equipment,44,14,58,326,Yes,Medium,12,4,Urban,172,46,Yes,normal
ID3946,Weapon System,82,4,60,219,Yes,Low,30,2,Urban,136,61,Yes,normal
ID2855,Drone,33,49,84,218,Yes,Medium,18,0,Arctic,124,35,No,compromised
ID5434,Surveillance Camera,15,39,95,374,Yes,High,79,2,Arctic,68,53,Yes,compromised
ID4773,Unmanned Ground Vehicle,88,-8,48,399,Yes,Medium,25,3,Urban,180,128,No,compromised
