Device ID,Device Name,Battery Status (%),Device Temperature (°C),Event Logs,Connectivity Status,Alert Response Time (ms),Firmware Vulnerabilities,Calibration Status,Maintenance Status,Patient Criticality,Label,Attack Type,Protocol
ID6214,Infusion Pump,15,45.3,189,Good,56,2,Yes,Yes,Low,Normal,None,None
ID2739,Ventilator,72,43.3,147,Disconnected,58,2,Yes,Yes,Medium,Compromised,Spoofing,Bluetooth
ID7443,Heart Rate Monitor,41,45.8,180,Disconnected,47,5,No,No,High,Compromised,MITM,Bluetooth
ID6817,ECG Machine,0,44.1,36,Poor,37,8,No,Yes,Medium,Compromised,MITM,TCP
ID3385,Patient Monitor,61,40.3,81,Poor,39,7,No,No,Medium,Normal,None,None
ID1667,Patient Monitor,63,32.2,13,Disconnected,10,0,Yes,No,Medium,Normal,None,None
ID7219,Glucose Monitor,27,46.7,71,Poor,34,10,Yes,No,Low,Compromised,DDoS,Wi-Fi
ID8716,ECG Machine,1,43.7,184,Good,40,6,No,No,High,Compromised,Spoofing,UDP
ID2186,Patient Monitor,53,33.8,56,Disconnected,52,3,No,Yes,Low,Compromised,DDoS,Bluetooth
ID7836,Infusion Pump,20,34.9,93,Disconnected,59,5,No,Yes,Medium,Compromised,Spoofing,Wi-Fi
ID7726,Patient Monitor,90,35.0,199,Good,33,6,No,No,Medium,Normal,None,None
ID6603,Glucose Monitor,22,38.4,85,Good,42,5,No,Yes,Medium,Normal,None,None
ID8277,ECG Machine,56,41.9,112,Good,38,3,No,Yes,High,Normal,None,None
ID3686,Ventilator,0,39.6,189,Disconnected,9,8,Yes,Yes,Medium,Compromised,MITM,Bluetooth
ID2216,Infusion Pump,38,36.5,142,Good,29,9,No,No,Medium,Normal,None,None
ID3003,Infusion Pump,12,35.4,180,Good,12,1,No,No,Medium,Normal,None,None
ID3221,Heart Rate Monitor,65,39.0,111,Disconnected,5,3,No,No,Medium,Normal,None,None
ID9589,Glucose Monitor,38,39.7,100,Poor,20,10,Yes,Yes,Medium,Normal,None,None
ID7610,Ventilator,25,34.1,50,Good,7,10,No,No,High,Normal,None,None
ID5859,Heart Rate Monitor,50,48.2,6,Disconnected,50,5,No,Yes,Medium,Compromised,DDoS,Wi-Fi
ID7622,Glucose Monitor,94,34.9,24,Poor,21,2,Yes,Yes,High,Normal,None,None
ID1148,Heart Rate Monitor,27,37.3,198,Poor,51,6,No,No,High,Compromised,MITM,TCP
ID8439,Patient Monitor,29,31.5,180,Good,41,5,Yes,Yes,Low,Normal,None,None
ID2425,ECG Machine,97,46.0,35,Good,15,4,No,No,Medium,Normal,None,None
ID6033,ECG Machine,74,38.6,114,Disconnected,11,4,No,No,Medium,Normal,None,None
ID5907,Patient Monitor,93,39.0,59,Poor,10,2,No,Yes,Medium,Normal,None,None
ID4951,Ventilator,95,34.4,144,Good,32,3,No,No,Medium,Normal,None,None
ID2597,Heart Rate Monitor,100,48.1,84,Poor,50,9,No,No,Low,Compromised,MITM,UDP
ID3108,Infusion Pump,29,49.2,60,Disconnected,33,3,No,Yes,High,Compromised,DDoS,TCP
ID6272,Ventilator,36,34.5,76,Poor,37,10,Yes,Yes,Low,Normal,None,None
ID6366,Ventilator,20,37.8,103,Good,20,1,Yes,Yes,Low,Normal,None,None
ID6866,Heart Rate Monitor,86,44.4,187,Disconnected,59,9,No,Yes,Low,Compromised,MITM,TCP
ID7761,Heart Rate Monitor,25,34.7,15,Good,53,10,Yes,Yes,Low,Compromised,MITM,UDP
ID8452,Heart Rate Monitor,76,49.9,169,Good,27,8,No,No,Medium,Compromised,MITM,Wi-Fi
ID5643,Infusion Pump,60,41.7,58,Disconnected,18,8,Yes,Yes,Low,Normal,None,None
ID8077,Patient Monitor,14,41.1,160,Disconnected,17,3,No,No,Medium,Compromised,DDoS,Bluetooth
ID4964,Heart Rate Monitor,15,39.2,173,Good,15,3,No,No,High,Compromised,MITM,Bluetooth
ID8934,Glucose Monitor,48,35.0,1,Good,20,4,Yes,No,High,Normal,None,None
ID8567,Ventilator,19,39.6,118,Good,41,0,No,Yes,Low,Normal,None,None
ID2568,Patient Monitor,40,41.0,24,Good,32,4,Yes,No,High,Normal,None,None
ID1554,Glucose Monitor,64,41.7,116,Disconnected,22,7,No,No,Low,Normal,None,None
ID6332,Ventilator,77,45.7,178,Good,29,4,No,Yes,Medium,Normal,None,None
ID5534,ECG Machine,14,49.9,116,Poor,55,9,No,No,High,Compromised,Spoofing,Bluetooth
ID1189,Heart Rate Monitor,0,31.5,5,Disconnected,52,7,Yes,No,High,Compromised,Spoofing,Bluetooth
ID7373,Ventilator,75,42.3,99,Good,30,5,No,Yes,Medium,Normal,None,None
ID1952,Infusion Pump,63,45.4,107,Disconnected,56,4,No,No,Low,Compromised,DDoS,Wi-Fi
ID2387,ECG Machine,33,32.8,134,Poor,59,1,No,Yes,High,Compromised,DDoS,Wi-Fi
ID5925,Patient Monitor,57,31.7,164,Good,6,8,No,No,Low,Normal,None,None
ID7245,Infusion Pump,16,43.8,43,Poor,18,6,No,No,Medium,Compromised,MITM,Bluetooth
ID6913,Patient Monitor,8,45.3,97,Poor,59,2,No,Yes,Medium,Compromised,MITM,Wi-Fi
ID3315,Glucose Monitor,50,33.4,63,Good,58,0,Yes,No,High,Normal,None,None
ID6774,Infusion Pump,9,35.0,150,Good,17,10,Yes,Yes,High,Compromised,Spoofing,UDP
ID8465,Heart Rate Monitor,77,44.3,129,Disconnected,33,8,No,No,Medium,Normal,None,None
ID8218,ECG Machine,36,49.7,30,Disconnected,51,1,Yes,Yes,High,Compromised,MITM,TCP
ID7879,Glucose Monitor,57,38.8,33,Poor,49,2,Yes,No,Medium,Compromised,MITM,Bluetooth
ID5380,Patient Monitor,36,39.2,22,Disconnected,16,0,Yes,Yes,Medium,Normal,None,None
ID8490,Glucose Monitor,39,43.8,28,Disconnected,55,2,No,No,High,Compromised,DDoS,Bluetooth
ID1767,ECG Machine,10,45.9,139,Good,52,4,Yes,Yes,Medium,Normal,None,None
ID5030,ECG Machine,16,47.9,53,Poor,16,1,No,Yes,High,Compromised,Spoofing,TCP
ID3726,ECG Machine,84,35.1,39,Poor,20,7,Yes,No,Medium,Normal,None,None
ID6363,Glucose Monitor,95,41.5,179,Disconnected,47,4,Yes,Yes,High,Compromised,DDoS,UDP
ID9000,Patient Monitor,93,33.2,194,Good,51,3,Yes,No,High,Compromised,Spoofing,Bluetooth
ID9876,Heart Rate Monitor,12,37.1,60,Disconnected,59,7,Yes,Yes,High,Compromised,MITM,UDP
ID8859,Infusion Pump,56,43.7,139,Disconnected,52,0,Yes,No,Medium,Compromised,Spoofing,TCP
ID8483,Glucose Monitor,76,45.7,99,Good,15,5,No,Yes,High,Normal,None,None
ID3678,Patient Monitor,33,32.9,20,Good,39,5,No,No,Low,Normal,None,None
ID3183,ECG Machine,45,31.4,152,Good,40,7,Yes,No,High,Compromised,DDoS,TCP
ID3899,Glucose Monitor,17,45.6,45,Poor,41,9,Yes,Yes,Low,Compromised,MITM,Wi-Fi
ID2472,ECG Machine,34,41.1,7,Disconnected,15,1,Yes,No,Medium,Normal,None,None
ID8345,Infusion Pump,24,37.9,6,Disconnected,23,10,Yes,No,High,Normal,None,None
ID1942,Infusion Pump,40,49.6,160,Disconnected,25,4,No,Yes,Medium,Compromised,MITM,UDP
ID8552,Glucose Monitor,79,39.7,181,Good,34,6,No,Yes,Medium,Normal,None,None
ID1782,Glucose Monitor,89,39.6,28,Poor,21,6,No,No,Low,Normal,None,None
ID5315,Glucose Monitor,37,38.5,25,Good,14,8,Yes,No,Low,Normal,None,None
ID1332,ECG Machine,100,42.6,137,Good,33,1,Yes,Yes,Medium,Normal,None,None
ID9888,Patient Monitor,69,42.0,70,Good,37,10,No,Yes,Medium,Normal,None,None
ID2066,ECG Machine,23,33.9,68,Disconnected,37,0,Yes,Yes,Low,Normal,None,None
ID7362,Glucose Monitor,45,47.0,4,Good,39,7,Yes,No,Low,Compromised,Spoofing,Wi-Fi
ID5321,Ventilator,34,35.2,188,Good,58,1,No,Yes,Low,Normal,None,None
ID2939,Ventilator,49,35.4,69,Poor,31,4,Yes,Yes,High,Normal,None,None
ID4063,ECG Machine,85,41.3,52,Poor,5,1,Yes,No,Medium,Normal,None,None
ID6743,Ventilator,57,44.2,22,Poor,5,2,Yes,Yes,High,Normal,None,None
ID5886,Ventilator,75,31.3,127,Disconnected,35,5,No,Yes,High,Normal,None,None
ID7714,Ventilator,48,43.6,70,Good,5,3,No,No,High,Normal,None,None
ID3269,Patient Monitor,25,40.6,14,Good,38,1,No,Yes,Medium,Normal,None,None
ID5927,Infusion Pump,82,42.6,71,Poor,59,3,Yes,Yes,Low,Compromised,MITM,TCP
ID6906,ECG Machine,76,39.8,176,Good,32,4,Yes,No,High,Compromised,Spoofing,UDP
ID1439,Glucose Monitor,87,43.5,158,Good,43,5,Yes,No,Low,Normal,None,None
ID4747,Infusion Pump,58,39.2,54,Good,12,0,No,Yes,Medium,Normal,None,None
ID5253,Glucose Monitor,28,47.4,107,Poor,34,6,Yes,Yes,Medium,Compromised,Spoofing,Bluetooth
ID6801,Ventilator,66,41.5,88,Poor,52,10,No,No,High,Compromised,DDoS,Bluetooth
ID3924,Patient Monitor,29,31.3,91,Disconnected,57,3,Yes,Yes,Low,Compromised,Spoofing,Wi-Fi
ID7365,Glucose Monitor,74,46.7,88,Poor,21,7,No,No,Medium,Compromised,DDoS,Bluetooth
ID3884,Infusion Pump,11,33.6,190,Poor,60,4,Yes,No,Medium,Compromised,DDoS,TCP
ID3613,Ventilator,92,38.3,111,Disconnected,13,2,No,Yes,High,Normal,None,None
ID6007,Heart Rate Monitor,58,48.8,24,Poor,31,7,No,No,Low,Compromised,DDoS,Bluetooth
ID6216,ECG Machine,94,34.8,20,Disconnected,56,3,No,Yes,High,Compromised,MITM,Wi-Fi
ID2669,Glucose Monitor,45,36.1,78,Poor,6,2,No,Yes,High,Normal,None,None
ID3710,Ventilator,19,47.7,177,Poor,46,9,No,No,Medium,Compromised,DDoS,UDP
ID2797,ECG Machine,44,30.9,84,Poor,9,6,No,No,High,Normal,None,None
ID3038,ECG Machine,28,34.4,131,Disconnected,24,10,Yes,No,Medium,Normal,None,None
ID4835,Infusion Pump,56,42.3,14,Good,8,9,No,Yes,High,Normal,None,None
ID5049,Heart Rate Monitor,83,47.6,167,Good,47,6,No,No,High,Compromised,MITM,TCP
ID8390,Infusion Pump,70,42.2,157,Poor,6,1,No,Yes,Medium,Normal,None,None
ID1423,Glucose Monitor,29,38.5,101,Poor,46,5,Yes,No,Medium,Compromised,Spoofing,Wi-Fi
ID1011,Ventilator,70,47.5,40,Poor,29,6,Yes,Yes,Medium,Compromised,MITM,Wi-Fi
ID8621,ECG Machine,9,43.9,35,Good,59,0,No,Yes,Medium,Normal,None,None
ID9302,Patient Monitor,68,38.9,121,Disconnected,53,3,No,No,Medium,Compromised,DDoS,Bluetooth
ID2799,Ventilator,16,36.5,45,Poor,52,8,No,No,High,Compromised,MITM,TCP
ID9453,ECG Machine,5,34.3,73,Good,42,8,No,No,Low,Compromised,DDoS,Wi-Fi
ID4488,Glucose Monitor,30,46.3,41,Disconnected,28,0,Yes,Yes,Low,Compromised,DDoS,Wi-Fi
ID4305,Heart Rate Monitor,30,42.5,58,Good,41,7,Yes,Yes,Medium,Compromised,Spoofing,TCP
ID5194,Patient Monitor,39,36.2,3,Disconnected,44,1,No,Yes,High,Compromised,DDoS,TCP
ID7702,ECG Machine,38,49.0,199,Disconnected,8,5,Yes,Yes,High,Compromised,DDoS,UDP
ID8260,Heart Rate Monitor,44,36.4,94,Disconnected,17,6,Yes,No,High,Normal,None,None
ID3473,Glucose Monitor,98,33.4,61,Disconnected,13,8,No,No,Medium,Normal,None,None
ID1828,Heart Rate Monitor,21,43.4,179,Good,57,6,Yes,No,Medium,Compromised,MITM,UDP
ID2952,Patient Monitor,60,37.6,39,Disconnected,18,5,Yes,Yes,Low,Normal,None,None
ID5777,Patient Monitor,25,36.1,53,Disconnected,56,7,Yes,No,High,Compromised,DDoS,Wi-Fi
ID4219,Patient Monitor,7,30.1,159,Good,14,9,Yes,No,High,Compromised,DDoS,Bluetooth
ID7407,Heart Rate Monitor,23,35.4,91,Good,44,6,No,Yes,Medium,Compromised,Spoofing,Wi-Fi
ID5976,Patient Monitor,69,37.8,102,Good,17,0,Yes,No,Low,Normal,None,None
ID2800,Glucose Monitor,73,39.8,195,Poor,57,1,No,No,Low,Compromised,DDoS,UDP
ID9205,Ventilator,64,49.0,114,Poor,52,1,Yes,No,Low,Compromised,Spoofing,UDP
ID5585,Ventilator,69,31.1,169,Disconnected,38,3,Yes,Yes,High,Normal,None,None
ID8831,Ventilator,84,34.4,67,Poor,36,1,Yes,Yes,Low,Normal,None,None
ID1501,Infusion Pump,48,35.2,158,Good,22,9,No,Yes,High,Compromised,MITM,Wi-Fi
ID2858,Patient Monitor,17,33.3,15,Good,40,1,Yes,No,Low,Normal,None,None
ID6569,Heart Rate Monitor,27,41.8,182,Good,42,1,No,No,Low,Normal,None,None
ID9135,Infusion Pump,82,43.9,33,Disconnected,51,8,Yes,No,High,Compromised,DDoS,UDP
ID4965,Heart Rate Monitor,33,44.5,61,Disconnected,19,6,No,Yes,Medium,Normal,None,None
ID2338,Ventilator,84,35.0,184,Poor,48,8,No,No,High,Compromised,Spoofing,Wi-Fi
ID2917,Heart Rate Monitor,33,49.9,137,Poor,39,8,No,Yes,Medium,Compromised,MITM,TCP
ID8165,Infusion Pump,33,47.8,116,Poor,41,5,No,Yes,Medium,Compromised,Spoofing,UDP
ID4412,Patient Monitor,62,32.2,200,Good,6,8,No,No,High,Compromised,DDoS,Wi-Fi
ID8282,Infusion Pump,36,33.1,191,Good,38,1,No,No,Low,Normal,None,None
ID8128,Patient Monitor,73,42.2,59,Disconnected,58,0,Yes,No,Medium,Compromised,MITM,Wi-Fi
ID8862,Infusion Pump,21,48.2,0,Good,49,10,No,No,High,Compromised,MITM,Wi-Fi
